Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,1,2,1,1,3970,4164,112,300,1,2,0
1,0,3,1,0,7806,2346,153,180,0,2,0
0,0,1,1,0,8142,5039,388,360,1,1,0
0,0,3,1,0,14014,4897,408,180,1,0,0
0,0,3,0,1,4819,6439,205,360,1,0,1
1,0,2,0,1,11094,2250,322,180,0,1,0
0,1,3,1,1,2364,60,55,360,1,2,0
0,0,2,0,1,6258,5041,196,360,1,0,1
0,1,0,1,1,5119,3010,233,180,1,2,1
1,1,0,0,1,12750,3901,77,180,1,2,1
0,0,2,1,1,3863,1337,499,360,1,1,0
0,0,0,1,0,2115,1184,87,120,1,1,0
0,1,1,0,1,9084,4426,168,180,1,2,1
0,0,3,0,0,10016,1551,342,240,0,0,0
1,0,1,1,0,4384,4433,420,300,1,0,0
0,1,3,1,1,5935,1629,293,360,1,1,0
1,1,0,0,1,9742,1327,117,360,1,2,1
1,0,1,0,0,7442,1526,263,300,1,0,1
1,1,0,1,0,4490,1673,267,120,1,0,0
0,0,3,0,1,8980,1361,226,300,1,1,1
1,0,2,1,1,11134,1573,348,180,1,2,0
0,0,2,1,0,9661,2686,213,300,1,0,1
1,1,1,1,1,3724,4370,107,360,1,1,0
1,1,0,1,1,12526,5283,318,300,1,0,0
1,1,0,0,1,10182,2366,357,240,1,0,1
1,1,1,0,0,4767,6732,107,180,1,0,1
1,1,2,0,0,3137,6647,337,300,1,1,0
1,0,3,0,0,12719,3757,154,360,0,2,1
1,0,1,0,1,6117,2434,277,180,1,1,1
1,0,3,0,1,5420,1993,296,360,1,2,1
0,0,2,0,0,7845,869,237,120,1,0,1
0,1,0,1,0,6778,6976,132,240,1,2,1
1,0,2,0,0,5906,1014,235,120,1,0,1
1,1,1,0,1,5637,1911,301,240,1,0,1
1,0,0,1,0,4953,602,404,300,1,1,0
0,1,1,0,0,7929,3821,287,180,1,0,1
1,1,1,0,1,12559,5895,409,300,1,1,1
0,0,2,1,1,14413,690,233,240,1,2,1
0,0,1,0,1,2276,493,333,240,1,2,0
0,0,2,0,0,3999,489,434,240,1,0,0
0,0,0,0,1,3227,6864,475,360,1,1,0
0,1,2,1,1,8337,2556,259,180,1,0,0
1,0,0,0,0,13944,4485,353,300,1,1,1
1,0,2,0,1,5735,294,345,300,1,1,1
1,1,3,1,0,2695,5488,146,120,1,1,0
1,0,3,0,0,11501,4027,496,240,1,2,1
1,0,1,1,1,6152,2843,257,240,1,1,0
0,0,2,1,1,9901,2912,419,240,1,2,0
1,0,2,0,1,9470,1717,437,300,1,1,1
1,0,0,1,1,13426,2596,471,120,0,2,0
0,1,1,1,1,14306,4744,460,360,0,2,0
1,0,2,0,1,9537,1873,186,180,1,2,1
0,0,1,1,0,12503,4663,416,360,0,0,0
1,0,3,1,0,4841,3258,449,300,0,1,0
0,0,2,0,1,6208,6996,233,240,1,0,1
1,0,2,0,0,13751,2817,125,180,0,1,1
1,1,1,0,1,13590,444,336,300,0,1,0
0,0,2,1,0,10733,3641,424,300,1,0,0
0,1,1,0,0,12886,4458,191,300,1,2,1
0,1,2,1,0,14866,6266,286,180,1,1,0
0,0,0,1,1,3088,5307,74,180,0,2,0
0,0,1,1,0,5363,741,339,120,1,0,0
0,0,2,1,1,2024,2041,116,120,1,2,0
0,0,3,1,0,11764,679,299,360,1,1,0
0,1,2,1,0,8144,2467,457,180,1,1,0
1,0,3,1,0,13150,3697,167,180,1,1,1
1,0,3,0,0,7668,5738,122,180,1,0,1
0,0,0,0,0,6236,5668,331,120,0,1,0
1,0,1,1,1,11959,1358,453,300,1,0,0
1,0,2,1,1,14935,6235,497,240,1,2,0
1,0,0,0,0,10068,62,409,120,1,1,1
1,1,2,1,0,4235,2559,59,180,0,1,0
0,1,3,0,0,9295,5258,260,120,1,1,1
1,0,1,0,0,10392,3769,372,360,1,2,1
0,0,2,0,1,13390,5324,201,180,0,1,1
1,0,2,1,0,10448,6915,54,360,1,0,1
1,1,3,1,1,5747,4351,244,180,0,2,0
1,0,2,0,0,14834,134,491,120,1,2,1
0,1,2,0,1,12433,3644,332,300,1,2,1
1,0,3,0,0,5175,4970,162,240,1,2,1
0,0,0,0,0,13798,4917,320,360,1,2,1
1,0,3,0,1,13528,2135,212,120,1,0,1
0,0,0,1,0,6897,3278,154,300,1,2,1
1,1,1,0,0,7037,822,230,120,1,1,1
0,1,0,1,0,9427,3074,93,360,1,2,1
0,0,0,0,1,10605,5069,331,240,1,2,1
1,0,1,1,0,4014,2981,224,120,0,2,0
0,1,0,1,0,3381,5873,211,180,1,2,0
1,1,3,1,1,3098,120,400,300,1,2,0
1,1,0,1,1,5426,1637,483,120,1,0,0
1,1,1,1,1,5655,5460,389,300,1,0,0
1,0,3,1,0,9938,5103,189,180,1,2,1
1,1,1,0,0,11101,924,181,240,1,0,1
1,0,1,1,0,2187,644,136,240,1,1,0
1,1,2,0,1,14236,2032,225,180,1,2,1
1,1,2,1,0,13948,2761,232,300,1,1,1
1,1,1,1,0,12207,2068,417,120,1,1,0
1,1,1,0,1,7409,241,178,180,1,2,1
1,1,1,1,1,4092,6598,295,360,1,1,0
0,0,2,0,1,13836,2668,138,300,1,1,1
0,0,2,0,1,4130,6446,115,240,1,1,1
1,1,0,0,1,7242,5715,207,180,1,2,1
1,1,0,0,0,10549,802,436,240,1,2,1
1,0,1,1,1,7647,5059,427,300,0,1,0
1,1,3,1,0,7185,4164,198,240,1,2,1
1,1,3,0,0,7776,5248,389,180,1,2,1
1,0,2,1,1,12614,195,482,300,0,1,0
1,1,2,1,1,14449,2187,165,360,1,2,1
1,1,2,0,1,9913,3515,263,180,1,0,1
0,0,1,1,0,9547,2330,495,120,1,2,0
1,0,3,0,1,9823,2359,421,180,1,0,1
0,0,0,0,1,9355,4841,343,300,0,1,0
1,1,1,1,1,8465,3606,302,180,1,2,0
1,0,0,1,1,14737,5784,192,360,0,1,0
0,0,0,1,1,3497,276,299,360,1,1,0
1,0,1,0,0,12350,60,415,120,1,1,1
0,0,0,0,0,4555,3390,485,240,1,1,1
1,0,3,1,0,7409,1913,351,300,0,1,0
1,0,0,1,1,12534,6195,74,300,1,2,1
0,1,3,1,1,4951,3927,326,240,1,0,0
1,1,3,1,1,3238,6296,426,360,1,2,0
0,0,3,0,0,11165,5868,427,360,1,2,1
1,0,2,1,1,6727,5430,438,180,1,2,0
0,0,0,0,1,5965,5933,119,120,1,2,1
0,1,1,0,1,7686,2591,162,120,0,0,1
1,1,1,1,0,11242,566,412,120,1,2,0
1,1,0,1,1,5701,3935,161,180,1,1,1
0,1,2,1,0,4780,1571,413,120,1,2,0
